09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3077) S_DA_BLANK_FLASH                                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3078) S_DA_CODE_AREA_IS_BLANK                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3079) S_DA_SEC_RO_AREA_IS_BLANK                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3080) S_DA_NOR_OTP_UNLOCKED                              (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3081) S_DA_UNSUPPORTED_BBCHIP                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3082) S_DA_FAT_NOT_EXIST                                 (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3083) S_DA_EXT_SRAM_NOT_FOUND                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3084) S_DA_EXT_DRAM_NOT_FOUND                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3085) S_DA_MT_PIN_LOW                                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3086) S_DA_MT_PIN_HIGH                                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3087) S_DA_MT_PIN_SHORT                                  (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3088) S_DA_MT_BUS_ERROR                                  (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3089) S_DA_MT_ADDR_NOT_2BYTE_ALIGNMENT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3090) S_DA_MT_ADDR_NOT_4BYTE_ALIGNMENT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3091) S_DA_MT_SIZE_NOT_2BYTE_ALIGNMENT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3092) S_DA_MT_SIZE_NOT_4BYTE_ALIGNMENT                   (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3093) S_DA_MT_DEDICATED_PATTERN_ERROR                    (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3094) S_DA_MT_INC_PATTERN_ERROR                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3095) S_DA_MT_DEC_PATTERN_ERROR                          (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3096) S_DA_NFB_BLOCK_0_IS_BAD                            (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3097) S_DA_CUST_PARA_AREA_IS_BLANK                       (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3098) S_DA_ENTER_RELAY_MODE_FAIL                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3099) S_DA_ENTER_RELAY_MODE_IS_FORBIDDEN_AFTER_META      (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3100) S_DA_NAND_PAGE_READ_FAILED                         (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3101) S_DA_NAND_IMAGE_BLOCK_NO_EXIST                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3102) S_DA_NAND_IMAGE_LIST_NOT_EXIST                     (brom.cpp:705)
09/13/16 17:33:02.090 BROM_DLL[1972][1068]: (3103) S_DA_MBA_RESOURCE_NO_EXIST_IN_TARGET               (brom.cpp:705)
